data_id,pred_len,auxi_mode,mse,mae,exp_dir
ETTh1,96,Time-o1,0.3680025041103363,0.3907652497291565,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_PCA_96_0.0_1.0_0.0005_type3_100_10_128_128_2_8_96_32_MAE_0_1_T_1.0
ETTh1,192,Time-o1,0.4240888655185699,0.4219553470611572,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_PCA_192_0.0_1.0_0.0005_type3_100_10_128_128_2_8_96_32_MAE_0_1_T_1.0
ETTh1,336,Time-o1,0.4669598639011383,0.4413564503192901,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_PCA_336_0.0_1.0_0.0005_type3_100_10_128_128_2_8_96_32_MAE_0_1_T_1.0
ETTh1,720,Time-o1,0.4649324715137481,0.4631440937519073,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_PCA_720_0.0_1.0_0.0005_type3_100_10_128_128_2_8_96_32_MAE_0_1_T_0.9
ETTh1,Avg,Time-o1,0.4309959262609482,0.4293052852153778,
ETTh1,96,FreDF,0.36970627307891846,0.3915591835975647,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_96_0.2_0.8_0.001_type3_100_10_128_MAE_rfft
ETTh1,192,FreDF,0.4355933964252472,0.4365418255329132,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_192_0.2_0.8_0.001_type3_100_10_128_MAE_rfft
ETTh1,336,FreDF,0.4729723036289215,0.4428349733352661,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_336_0.2_0.8_0.001_type3_100_10_128_MAE_rfft
ETTh1,720,FreDF,0.4741019010543823,0.46584537625312805,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_720_0.2_0.8_0.001_type3_100_10_128_MAE_rfft
ETTh1,Avg,FreDF,0.43809346854686737,0.434195339679718,
ETTh1,96,Fourier Koopman,0.3747584819793701,0.3973237872123718,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_96_0.2_0.8_0.001_type3_100_10_128_None_fourier_koopman
ETTh1,192,Fourier Koopman,0.4378664791584015,0.4336797893047333,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_192_0.2_0.8_0.001_type3_100_10_128_None_fourier_koopman
ETTh1,336,Fourier Koopman,0.47303107380867004,0.4554176926612854,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_336_0.2_0.8_0.001_type3_100_10_128_None_fourier_koopman
ETTh1,720,Fourier Koopman,0.5228999257087708,0.4870637357234955,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_720_0.2_0.8_0.001_type3_100_10_128_None_fourier_koopman
ETTh1,Avg,Fourier Koopman,0.4521389901638031,0.4433712512254715,
ETTh1,96,Dilate,0.3777253329753876,0.3987542986869812,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_96_0.9995_0.0005_0.001_type3_100_10_128_None_dilate_cuda
ETTh1,192,Dilate,0.4390365779399872,0.4347802400588989,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_192_0.9995_0.0005_0.001_type3_100_10_128_None_dilate_cuda
ETTh1,336,Dilate,0.48058101534843445,0.45251724123954773,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_336_0.9995_0.0005_0.001_type3_100_10_128_None_dilate_cuda
ETTh1,720,Dilate,0.5159295797348022,0.4821101725101471,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_720_0.9995_0.0005_0.001_type3_100_10_128_None_dilate_cuda
ETTh1,Avg,Dilate,0.45331812649965286,0.44204048812389374,
ETTh1,96,Soft-DTW,0.37580737471580505,0.3976632356643677,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_96_0.9995_0.0005_0.001_type3_100_10_128_None_soft_dtw
ETTh1,192,Soft-DTW,0.43946075439453125,0.4350711703300476,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_192_0.9995_0.0005_0.001_type3_100_10_128_None_soft_dtw
ETTh1,336,Soft-DTW,0.48439404368400574,0.45468446612358093,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_336_0.9995_0.0005_0.001_type3_100_10_128_None_soft_dtw
ETTh1,720,Soft-DTW,0.5416573882102966,0.5102411508560181,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_720_0.9995_0.0005_0.001_type3_100_10_128_None_soft_dtw
ETTh1,Avg,Soft-DTW,0.46032989025115967,0.44941500574350357,
ETTh1,96,DTW,0.37769073247909546,0.39851173758506775,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/diff_loss/Fredformer_ETTh1_96_0.9995_0.0005_0.001_type3_100_10_128_None_dtw
