model,pred_len,data_id,learning_rate,batch_size,patience,individual,train_epochs,lradj,mse,mae,mape,mspe,exp_dir
CycleNet,336,ETTm2,0.0005,32,5,0,30,type1,0.3004339635372162,0.33791810274124146,1.330679178237915,275.652099609375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTm2_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,ETTm2,0.0005,32,5,0,30,type1,0.4008205235004425,0.39502376317977905,1.5226271152496338,352.3459777832031,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_ETTm2_720_1.0_0.0_0.0005_type1_30_5_32
CycleNet,12,PEMS03,0.0005,32,5,0,30,type1,0.07405654340982437,0.18451403081417084,1.4935401678085327,7621.5068359375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_PEMS03_12_1.0_0.0_0.0005_type1_30_5_32
CycleNet,24,PEMS03,0.0005,32,5,0,30,type1,0.10750093311071396,0.2235538810491562,1.8098093271255493,9687.2470703125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_PEMS03_24_1.0_0.0_0.0005_type1_30_5_32
CycleNet,36,PEMS03,0.0005,32,5,0,30,type1,0.13982422649860382,0.2559410631656647,2.0182108879089355,11426.8486328125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_PEMS03_36_1.0_0.0_0.0005_type1_30_5_32
CycleNet,48,PEMS03,0.0005,32,5,0,30,type1,0.1678934246301651,0.28174638748168945,2.1722571849823,12497.5693359375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_PEMS03_48_1.0_0.0_0.0005_type1_30_5_32
CycleNet,12,PEMS08,0.0005,32,5,0,30,type1,0.08675556629896164,0.19354446232318878,1.610809564590454,4804.03515625,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_PEMS08_12_1.0_0.0_0.0005_type1_30_5_32
CycleNet,24,PEMS08,0.0005,32,5,0,30,type1,0.12759537994861603,0.2384204864501953,1.971159815788269,7309.0048828125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_PEMS08_24_1.0_0.0_0.0005_type1_30_5_32
CycleNet,36,PEMS08,0.0005,32,5,0,30,type1,0.16862298548221588,0.2765849828720093,2.215301752090454,8958.533203125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_PEMS08_36_1.0_0.0_0.0005_type1_30_5_32
CycleNet,48,PEMS08,0.0005,32,5,0,30,type1,0.20624791085720062,0.30855706334114075,2.3685367107391357,9894.3232421875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_PEMS08_48_1.0_0.0_0.0005_type1_30_5_32
CycleNet,96,Traffic,0.0005,8,5,0,30,type1,0.4928542971611023,0.32544252276420593,3.7828454971313477,351401.8125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_Traffic_96_1.0_0.0_0.0005_type1_30_5_8
CycleNet,192,Traffic,0.0005,8,5,0,30,type1,0.4924945831298828,0.31956711411476135,3.7467305660247803,377407.3125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_Traffic_192_1.0_0.0_0.0005_type1_30_5_8
CycleNet,336,Traffic,0.0005,8,5,0,30,type1,0.4952191710472107,0.314523309469223,3.5500502586364746,285885.0,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_Traffic_336_1.0_0.0_0.0005_type1_30_5_8
CycleNet,720,Traffic,0.0005,8,5,0,30,type1,0.522695779800415,0.33009618520736694,3.5510122776031494,260737.734375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_Traffic_720_1.0_0.0_0.0005_type1_30_5_8
CycleNet,96,Weather,0.0005,32,5,0,30,type1,0.17988520860671997,0.2225448042154312,2.892080783843994,87726.875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_Weather_96_1.0_0.0_0.0005_type1_30_5_32
CycleNet,192,Weather,0.0005,32,5,0,30,type1,0.23076583445072174,0.26351198554039,3.2874996662139893,107113.953125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_Weather_192_1.0_0.0_0.0005_type1_30_5_32
CycleNet,336,Weather,0.0005,32,5,0,30,type1,0.28167903423309326,0.29953131079673767,3.5007216930389404,122077.0546875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_Weather_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,Weather,0.0005,32,5,0,30,type1,0.35360288619995117,0.34626418352127075,3.4771201610565186,89020.1328125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/CycleNet_Weather_720_1.0_0.0_0.0005_type1_30_5_32
DLinear,96,ECL,0.0005,32,3,0,10,type1,0.19702474772930145,0.2823767364025116,2.5765600204467773,553746.875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ECL_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ECL,0.0005,32,3,0,10,type1,0.1965537816286087,0.2855641543865204,2.594102382659912,479839.9375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ECL_192_1.0_0.0_0.0005_type1_10_3_32
DLinear,336,ECL,0.0005,32,3,0,10,type1,0.20946459472179413,0.30093708634376526,2.5517680644989014,341836.03125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ECL_336_1.0_0.0_0.0005_type1_10_3_32
DLinear,720,ECL,0.0005,32,3,0,10,type1,0.24484862387180328,0.33350154757499695,2.670616865158081,233659.734375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ECL_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,ETTh1,0.0005,32,3,0,10,type1,0.3889424204826355,0.4036716818809509,8.601435661315918,37319.7109375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTh1_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ETTh1,0.0005,32,3,0,10,type1,0.44221821427345276,0.4398763179779053,8.219743728637695,29248.615234375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTh1_192_1.0_0.0_0.0005_type1_10_3_32
DLinear,336,ETTh1,0.0005,32,3,0,10,type1,0.4884740114212036,0.46659550070762634,8.482680320739746,30940.40234375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTh1_336_1.0_0.0_0.0005_type1_10_3_32
DLinear,720,ETTh1,0.0005,32,3,0,10,type1,0.5050578117370605,0.5024269819259644,8.928096771240234,32566.1015625,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTh1_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,ETTh2,0.0005,32,3,0,10,type1,0.33002421259880066,0.3825846314430237,1.2926980257034302,306.18853759765625,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTh2_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ETTh2,0.0005,32,3,0,10,type1,0.439167320728302,0.4495277404785156,1.3520640134811401,266.5336608886719,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTh2_192_1.0_0.0_0.0005_type1_10_3_32
DLinear,336,ETTh2,0.0005,32,3,0,10,type1,0.5893800258636475,0.5375152230262756,1.4030983448028564,249.09173583984375,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTh2_336_1.0_0.0_0.0005_type1_10_3_32
DLinear,720,ETTh2,0.0005,32,3,0,10,type1,0.7571782469749451,0.6262186765670776,1.4519912004470825,234.9376220703125,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTh2_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,ETTm1,0.0005,32,3,0,10,type1,0.3458496630191803,0.37335026264190674,1.9772995710372925,294.79168701171875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTm1_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ETTm1,0.0005,32,3,0,10,type1,0.3803097605705261,0.38993409276008606,2.0154175758361816,298.4136047363281,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTm1_192_1.0_0.0_0.0005_type1_10_3_32
DLinear,336,ETTm1,0.0005,32,3,0,10,type1,0.41324299573898315,0.4139361083507538,2.026536226272583,288.7119140625,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTm1_336_1.0_0.0_0.0005_type1_10_3_32
DLinear,720,ETTm1,0.0005,32,3,0,10,type1,0.4717453122138977,0.44986268877983093,2.133551597595215,322.36920166015625,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTm1_720_1.0_0.0_0.0005_type1_10_3_32
DLinear,96,ETTm2,0.0005,32,3,0,10,type1,0.1878827065229416,0.28294479846954346,1.110853672027588,229.47447204589844,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTm2_96_1.0_0.0_0.0005_type1_10_3_32
DLinear,192,ETTm2,0.0005,32,3,0,10,type1,0.27969470620155334,0.3557722568511963,1.1623533964157104,208.319091796875,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTm2_192_1.0_0.0_0.0005_type1_10_3_32
DLinear,336,ETTm2,0.0005,32,3,0,10,type1,0.3753751218318939,0.4202502965927124,1.2164746522903442,207.5074920654297,/data/home/Licheng/workspace/TSF-CCA/results_CCA/baselines/DLinear_ETTm2_336_1.0_0.0_0.0005_type1_10_3_32
