model,pred_len,data_id,auxi_mode,mse,mae
Fredformer,336,Weather,FreDF,0.2780168354511261,0.2960929274559021
Fredformer,720,Weather,FreDF,0.35353052616119385,0.34654340147972107
Fredformer,Avg,Weather,FreDF,0.256209135055542,0.2773284688591957
Fredformer,96,Weather,Fourier Koopman,0.17379815876483917,0.2141699194908142
Fredformer,192,Weather,Fourier Koopman,0.22021006047725677,0.25595903396606445
Fredformer,336,Weather,Fourier Koopman,0.2795639634132385,0.2983715236186981
Fredformer,720,Weather,Fourier Koopman,0.354267418384552,0.3474096357822418
Fredformer,Avg,Weather,Fourier Koopman,0.2569599002599716,0.27897752821445465
Fredformer,96,Weather,Dilate,0.1729109287261963,0.21365337073802948
Fredformer,192,Weather,Dilate,0.2253478467464447,0.25952115654945374
Fredformer,336,Weather,Dilate,0.27950048446655273,0.2989141047000885
Fredformer,720,Weather,Dilate,0.35527122020721436,0.34788861870765686
Fredformer,Avg,Weather,Dilate,0.258257620036602,0.27999431267380714
Fredformer,96,Weather,Soft-DTW,0.17343652248382568,0.21262948215007782
Fredformer,192,Weather,Soft-DTW,0.2203643023967743,0.2546378970146179
Fredformer,336,Weather,Soft-DTW,0.2810061275959015,0.2962232530117035
Fredformer,720,Weather,Soft-DTW,0.36944347620010376,0.35527363419532776
Fredformer,Avg,Weather,Soft-DTW,0.2610626071691513,0.27969106659293175
Fredformer,96,Weather,DTW,0.1789347231388092,0.2189924120903015
Fredformer,192,Weather,DTW,0.22285906970500946,0.25665202736854553
Fredformer,336,Weather,DTW,0.2811080813407898,0.2975822985172272
Fredformer,720,Weather,DTW,0.35627976059913635,0.34693992137908936
Fredformer,Avg,Weather,DTW,0.2597954086959362,0.2800416648387909
