model,pred_len,data_id,learning_rate,batch_size,patience,individual,train_epochs,lradj,mse,mae,exp_dir
Autoformer,336,Weather,0.0005,32,3,0,10,type1,0.3460947871208191,0.3851419687271118,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_Weather_336_1.0_0.0_0.0005_type1_10_3_32
Autoformer,720,Weather,0.0005,32,3,0,10,type1,0.4117349684238434,0.420226126909256,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/Autoformer_Weather_720_1.0_0.0_0.0005_type1_10_3_32
CycleNet,96,ECL,0.0005,16,5,0,30,type1,0.1478414386510849,0.24321892857551575,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ECL_96_1.0_0.0_0.0005_type1_30_5_16
CycleNet,192,ECL,0.0005,16,5,0,30,type1,0.1611245572566986,0.25441691279411316,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ECL_192_1.0_0.0_0.0005_type1_30_5_16
CycleNet,336,ECL,0.0005,16,5,0,30,type1,0.178323432803154,0.27162182331085205,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ECL_336_1.0_0.0_0.0005_type1_30_5_16
CycleNet,720,ECL,0.0005,16,5,0,30,type1,0.21766525506973267,0.3036237359046936,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ECL_720_1.0_0.0_0.0005_type1_30_5_16
CycleNet,96,ETTh1,0.0005,32,5,0,30,type1,0.3956235647201538,0.40370482206344604,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTh1_96_1.0_0.0_0.0005_type1_30_5_32
CycleNet,192,ETTh1,0.0005,32,5,0,30,type1,0.4450257122516632,0.43135279417037964,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTh1_192_1.0_0.0_0.0005_type1_30_5_32
CycleNet,336,ETTh1,0.0005,32,5,0,30,type1,0.4867763817310333,0.45233091711997986,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTh1_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,ETTh1,0.0005,32,5,0,30,type1,0.4867434799671173,0.47490739822387695,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTh1_720_1.0_0.0_0.0005_type1_30_5_32
CycleNet,96,ETTh2,0.0005,32,5,0,30,type1,0.2986270785331726,0.3473372161388397,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTh2_96_1.0_0.0_0.0005_type1_30_5_32
CycleNet,192,ETTh2,0.0005,32,5,0,30,type1,0.38467904925346375,0.39978450536727905,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTh2_192_1.0_0.0_0.0005_type1_30_5_32
CycleNet,336,ETTh2,0.0005,32,5,0,30,type1,0.42600154876708984,0.43554964661598206,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTh2_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,ETTh2,0.0005,32,5,0,30,type1,0.4376113712787628,0.4504547715187073,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTh2_720_1.0_0.0_0.0005_type1_30_5_32
CycleNet,96,ETTm1,0.0005,32,5,0,30,type1,0.34163931012153625,0.3675400912761688,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTm1_96_1.0_0.0_0.0005_type1_30_5_32
CycleNet,192,ETTm1,0.0005,32,5,0,30,type1,0.37892064452171326,0.3848487138748169,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTm1_192_1.0_0.0_0.0005_type1_30_5_32
CycleNet,336,ETTm1,0.0005,32,5,0,30,type1,0.4089929163455963,0.40451034903526306,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTm1_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,ETTm1,0.0005,32,5,0,30,type1,0.46576637029647827,0.43628010153770447,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTm1_720_1.0_0.0_0.0005_type1_30_5_32
CycleNet,96,ETTm2,0.0005,32,5,0,30,type1,0.17188246548175812,0.25515300035476685,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTm2_96_1.0_0.0_0.0005_type1_30_5_32
CycleNet,192,ETTm2,0.0005,32,5,0,30,type1,0.23804637789726257,0.29755645990371704,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTm2_192_1.0_0.0_0.0005_type1_30_5_32
CycleNet,336,ETTm2,0.0005,32,5,0,30,type1,0.3004339635372162,0.33791810274124146,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTm2_336_1.0_0.0_0.0005_type1_30_5_32
CycleNet,720,ETTm2,0.0005,32,5,0,30,type1,0.4008205235004425,0.39502376317977905,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_ETTm2_720_1.0_0.0_0.0005_type1_30_5_32
CycleNet,12,PEMS03,0.0005,32,5,0,30,type1,0.07405654340982437,0.18451403081417084,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_PEMS03_12_1.0_0.0_0.0005_type1_30_5_32
CycleNet,24,PEMS03,0.0005,32,5,0,30,type1,0.10750093311071396,0.2235538810491562,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_PEMS03_24_1.0_0.0_0.0005_type1_30_5_32
CycleNet,36,PEMS03,0.0005,32,5,0,30,type1,0.13982422649860382,0.2559410631656647,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_PEMS03_36_1.0_0.0_0.0005_type1_30_5_32
CycleNet,48,PEMS03,0.0005,32,5,0,30,type1,0.1678934246301651,0.28174638748168945,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_PEMS03_48_1.0_0.0_0.0005_type1_30_5_32
CycleNet,12,PEMS08,0.0005,32,5,0,30,type1,0.08675556629896164,0.19354446232318878,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_PEMS08_12_1.0_0.0_0.0005_type1_30_5_32
CycleNet,24,PEMS08,0.0005,32,5,0,30,type1,0.12759537994861603,0.2384204864501953,/mnt/tidalfs-bdsz01/usr/panlicheng/workspace/ProjDF-OT/results_OT/baselines/CycleNet_PEMS08_24_1.0_0.0_0.0005_type1_30_5_32
